97	12646	4190	7312	195017	1956	24148	40157	34904	7546	24256	66706	5927
98	2514	48	318	197018	2001	2880	39983	34888	7470	24953	67311	5630
99	7272	3286	2324	198590	1572	12882	40380	34951	7486	25067	67504	6312
100	25746	6068	6496	199785	1195	38310	56126	36051	7340	24619	68010	33395
101	24972	3990	9436	201221	1436	38398	55739	36521	7345	24005	67871	32729
102	21910	1864	9256	202935	1714	33030	44073	36766	7356	23890	68012	12665
103	15570	2466	18858	204428	1493	36894	40973	34870	7713	26026	68609	7333
104	3694	6210	10850	205905	1477	20754	39417	33970	7614	26159	67743	4656
105	3258	9148	6928	207264	1359	19334	40028	36208	7588	25842	69638	5705
106	9656	7280	6000	208680	1416	22936	39625	34430	7564	26347	68341	5013
107	36096	16642	13278	209745	1065	66016	66776	40915	7735	23209	71859	51713
108	29154	10582	12084	210785	1040	51820	58223	39008	7741	24170	70919	37001
109	28346	5646	10906	211921	1136	44898	57771	35856	7471	24972	68299	36225
110	29006	2870	18770	212978	1057	50646	58416	34996	7687	26013	68696	37334
111	20734	8494	16112	213946	968	45340	42883	33244	7810	27259	68313	10618
112	4712	8644	8216	215014	1068	21572	39659	35350	7571	25919	68840	5071
113	9720	2746	10580	216095	1081	23046	40624	35111	7625	25000	67736	6731
114	33120	10094	18908	216906	811	62122	59271	38089	7810	25466	71365	38805
115	22800	1610	16390	217791	885	40800	51143	34054	7726	26174	67954	24823
116	12628	3266	11394	218604	813	27288	40532	34466	7782	24337	66585	6572
117	36254	3772	23044	219354	750	63070	68449	37496	7576	24724	69796	54590
118	24834	12128	19478	220071	717	56440	57333	40047	7765	23513	71325	35470
119	6136	9606	8596	220853	782	24338	39662	38434	7597	24938	70969	5078
120	10802	4084	9810	221598	745	24696	40062	35797	7485	24126	67408	5763
121	40256	13192	21016	222209	611	74464	73468	50431	7746	15155	73332	63222
122	27448	23406	19560	222871	662	70414	69414	50164	7970	15898	74032	56250
123	18732	6480	14762	223530	659	39974	41963	44571	7884	18749	71204	9036
124	46416	3902	28238	224210	680	78556	79530	48422	7686	15361	71469	73650
125	34360	13890	21676	224860	650	69926	72711	49339	7821	16453	73613	61921
126	9516	14956	10174	225545	685	34646	50917	48617	7847	17712	74176	24436
127	16956	8232	7240	226171	626	32428	42018	46138	7552	17787	71477	9128
128	57514	17332	17374	226795	624	92220	69953	51350	7276	14178	72804	57178
129	49386	11658	16214	227363	568	77258	62432	50721	7742	14083	72546	44242
130	47484	8144	20664	228000	637	76292	63904	48167	7830	15739	71736	46772
131	47204	5816	24372	228678	678	77392	73614	48419	7680	15666	71765	63474
132	36376	15370	19430	229357	679	71176	68248	50464	7915	15735	74114	54244
133	11282	11748	8628	230029	672	31658	43875	49275	7759	15706	72740	12323
134	16208	7618	6600	230642	613	30426	41874	46135	7503	17864	71502	8881
135	57256	18700	17452	231270	628	93408	70277	51171	7277	14261	72709	57733
136	52802	13682	16062	231801	531	82546	67057	50348	7698	14241	72287	52195
137	51718	10496	19748	232376	575	81962	61801	51013	7717	14367	73097	43156
138	49854	4882	23952	232954	578	78688	72827	49013	7530	15045	71588	62121
139	41492	13000	19924	233545	591	74416	65870	49990	7820	15291	73101	50154
140	12056	12068	9988	234123	578	34112	43720	49698	7871	14799	72368	12056
141	16744	7698	7976	234725	602	32418	41812	45999	7524	17864	71387	8773
142	61220	19448	19536	235363	638	100204	70357	51472	7265	14355	73092	57871
143	53668	15286	17286	235971	608	86240	69180	50414	7647	14294	72355	55848
144	51490	10506	20456	236616	645	82452	64361	51013	7691	14326	73030	47557
145	49282	7812	22346	237264	648	79440	69850	48878	7570	15748	72196	57000
146	42588	13804	17698	237947	683	74090	67783	49317	7901	16411	73629	53444
147	13528	12680	8102	238641	694	34310	46682	49249	7664	15335	72248	17152
148	17206	9316	6210	239315	674	32732	42268	49056	7569	15680	72305	9558
149	64372	17930	16200	239986	671	98502	71018	51152	7273	14355	72780	59008
150	57626	15470	15598	240664	678	88694	70183	50768	7153	14360	72281	57572
151	56508	11524	18984	241359	695	87016	61795	50348	7135	14837	72320	43145
152	53156	6164	23020	242049	690	82340	71444	48253	7513	15950	71716	59741
153	43956	14194	20460	242713	664	78610	71306	49418	7872	15790	73080	59503
154	14512	14684	93336	243406	693	122532	69599	43631	8268	19492	71391	56568
155	19028	9340	8044	244097	691	36412	41723	48558	7543	15979	72080	8623
156	63070	21960	22136	244784	687	107166	79492	52162	7217	14135	73514	73585
157	53384	16730	20578	245468	684	90692	73549	51392	7678	14516	73586	63362
158	52924	12030	21796	246154	686	86750	71819	51497	7638	13619	72754	60386
159	48554	7950	24728	246845	691	81232	74197	48656	7509	15999	72164	64476
160	39574	13920	22272	247534	689	75766	74480	49986	7770	16444	74200	64964
161	11568	12144	10296	248228	694	34008	43781	49179	7818	15395	72392	12162
162	17648	8510	7238	248922	694	33396	40585	45565	7524	17984	71073	6664
163	56818	23532	21956	249611	689	102306	79663	52226	7220	13599	73045	73880
164	49772	18310	21222	250303	692	89304	79445	51760	7798	14601	74159	73503
165	48750	11476	26246	250991	688	86472	77994	51194	7607	14110	72911	71007
166	47112	6060	28506	251686	695	81678	78594	47755	7659	16271	71685	72039
167	37278	15552	25670	252374	688	78500	81134	50766	7760	15399	73925	76408
168	10610	13430	10800	253064	690	34840	49294	48743	7753	15419	71915	21643
169	15068	9514	9294	253757	693	33876	41290	48558	7668	16131	72357	7877
170	58302	21522	27332	254448	691	107156	88130	52243	7208	14098	73549	88442
171	51694	16708	24508	255136	688	92910	82337	51795	7600	14405	73800	78476
172	49890	12066	27434	255826	690	89390	80420	51549	7633	13475	72657	75180
173	49246	9488	30892	256513	687	89626	80936	50863	7627	14112	72602	76068
